City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Port Hedland,-20.3167,118.5667,84.25,79,100,14.97,AU,1643648998
Portland,45.5234,-122.6762,41.9,91,75,1.01,US,1643648973
Rikitea,-23.1203,-134.9692,76.93,63,100,3.22,PF,1643649118
Port Hedland,-20.3167,118.5667,84.25,79,100,14.97,AU,1643649384
Portland,45.5234,-122.6762,41.9,91,75,1.01,US,1643648973
Rikitea,-23.1203,-134.9692,76.93,63,100,3.22,PF,1643649118
Albany,42.6001,-73.9662,28.74,47,41,4.0,US,1643649182
Busselton,-33.65,115.3333,62.04,68,43,15.75,AU,1643649384
Zalegoshch',52.9008,36.8869,26.69,95,99,12.21,RU,1643649385
George Town,5.4112,100.3354,84.15,81,20,5.75,MY,1643649294
Castro,-24.7911,-50.0119,70.99,81,80,5.73,BR,1643649385
Revelstoke,50.9832,-118.2023,33.82,64,75,9.22,CA,1643649385
Leningradskiy,69.3833,178.4167,-17.88,93,40,7.25,RU,1643649386
San Patricio,28.017,-97.5169,66.88,92,100,12.21,US,1643649446
Cherskiy,68.75,161.3,-18.13,97,100,2.59,RU,1643649447
Jacqueville,5.2052,-4.4146,85.91,76,80,12.01,CI,1643649447
Atuona,-9.8,-139.0333,77.83,80,12,20.22,PF,1643649508
Baykit,61.67,96.37,-1.17,99,100,1.03,RU,1643649509
Vaini,-21.2,-175.2,80.15,73,99,13.51,TO,1643649509
Tautira,-17.7333,-149.15,75.22,77,82,18.7,PF,1643649510
Lompoc,34.6391,-120.4579,60.13,72,98,18.01,US,1643649232
Jacareacanga,-6.2222,-57.7528,86.31,70,75,6.91,BR,1643649510
Maniitsoq,65.4167,-52.9,12.15,68,100,12.75,GL,1643649571
Broken Hill,-31.95,141.4333,76.75,70,100,12.41,AU,1643649557
Arraial do Cabo,-22.9661,-42.0278,80.56,83,75,8.05,BR,1643649571
Ushuaia,-54.8,-68.3,56.82,66,75,31.07,AR,1643649572
Esmeraldas,-19.7625,-44.3139,75.31,82,95,6.6,BR,1643649572
Provideniya,64.3833,-173.3,4.86,77,82,18.86,RU,1643649573
Bluff,-46.6,168.3333,57.79,93,67,2.84,NZ,1643649573
Yagodnoye,62.55,149.6667,-5.71,99,100,3.15,RU,1643649574
Sijunjung,-0.6876,100.9537,72.5,96,100,1.52,ID,1643649574
Necochea,-38.5473,-58.7368,68.04,35,67,13.98,AR,1643649575
